"tube","session","root.len.prod","root.len.mort","root.len.stand","rhiz.len.prod","rhiz.len.mort","rhiz.len.stand","myc.prod","myc.mort","myc.stand","tube.east","tube.north","ring","block","co2treat","ntreat","fulldate","year","mo","doe","doy"
1,1,0.990008713437658,0,0.990008713437658,3.02326611838609,0,3.02326611838609,0,0,0,NA,NA,1,1,0,0,1998-10-21,1998,10,293,293
2,1,0.797231781303487,0,0.797231781303487,0.917174171395168,0,0.917174171395168,0,0,0,NA,NA,1,1,0,0,1998-10-21,1998,10,293,293
3,1,1.68590790991927,0,1.68590790991927,0,0,0,0,0,0,26.0791734837054,463.610890423291,1,1,0,0,1998-10-21,1998,10,293,293
4,1,7.4809974091395,0,7.4809974091395,0,0,0,0,0,0,NA,NA,1,1,0,1,1998-10-21,1998,10,293,293
5,1,6.62405916926203,0,6.62405916926203,4.44039283030626,0,4.44039283030626,1697.15895590781,0,1697.15895590781,15.6143176607629,454.174897515308,1,1,0,1,1998-10-21,1998,10,293,293
6,1,0,0,0,0,0,0,0,0,0,NA,NA,1,1,0,1,1998-10-21,1998,10,293,293
7,1,0,0,0,0.341621837618677,0,0.341621837618677,0,0,0,6.58275624231656,456.863868576625,1,1,0,1,1998-10-21,1998,10,293,293
8,1,23.9635816110896,0,23.9635816110896,0,0,0,0,0,0,4.65237782536246,457.263283072285,1,1,0,1,1998-10-21,1998,10,293,293
9,1,22.6980457468688,0,22.6980457468688,0,0,0,339.431791181562,0,339.431791181562,3.13529002206533,457.374502798104,1,1,0,1,1998-10-21,1998,10,293,293
10,1,7.68788210212751,0,7.68788210212751,0,0,0,0,0,0,7.33250505321454,461.468185754259,1,1,0,0,1998-10-21,1998,10,293,293
11,1,0.941237243106537,0,0.941237243106537,0,0,0,0,0,0,10.4543812194987,469.053045249221,1,1,0,0,1998-10-21,1998,10,293,293
12,1,12.2996300599981,0,12.2996300599981,0,0,0,0,0,0,10.0229852608838,472.093382604188,1,1,0,0,1998-10-21,1998,10,293,293
13,1,0.507928171354924,0,0.507928171354924,0,0,0,0,0,0,143.536193306607,495.877808000882,2,1,1,1,1998-10-21,1998,10,293,293
14,1,17.1399345160871,0,17.1399345160871,0,0,0,0,0,0,146.075929757999,496.051562093438,2,1,1,1,1998-10-21,1998,10,293,293
16,1,1.41913789609607,0,1.41913789609607,0,0,0,0,0,0,140.595017872302,487.901071091808,2,1,1,1,1998-10-21,1998,10,293,293
17,1,13.7972956026103,0,13.7972956026103,0,0,0,3054.88612063406,0,3054.88612063406,140.728408357868,486.744740681272,2,1,1,1,1998-10-21,1998,10,293,293
18,1,10.0495285861528,0,10.0495285861528,0,0,0,0,0,0,140.219190874618,485.408309514947,2,1,1,1,1998-10-21,1998,10,293,293
19,1,29.0471854905308,0,29.0471854905308,0,0,0,0,0,0,134.595592049068,490.905496200262,2,1,1,0,1998-10-21,1998,10,293,293
20,1,6.09003133544865,0,6.09003133544865,0,0,0,0,0,0,130.444634020807,491.143390762066,2,1,1,0,1998-10-21,1998,10,293,293
21,1,39.4035228141863,0,39.4035228141863,1.15404471597181,0,1.15404471597181,7467.49940599436,0,7467.49940599436,128.662965565304,490.975697765585,2,1,1,0,1998-10-21,1998,10,293,293
22,1,1.72175861440284,0,1.72175861440284,0,0,0,0,0,0,136.377607528524,498.564578075477,2,1,1,0,1998-10-21,1998,10,293,293
23,1,0.781927879077729,0,0.781927879077729,0,0,0,0,0,0,136.400437860386,504.643310219923,2,1,1,0,1998-10-21,1998,10,293,293
24,1,4.88644685443275,0,4.88644685443275,0.7590040380188,0,0.7590040380188,0,0,0,136.189125755376,506.099511883354,2,1,1,0,1998-10-21,1998,10,293,293
25,1,11.5823852786603,0,11.5823852786603,0,0,0,0,0,0,4.48253601800892,237.310912134074,3,2,1,0,1998-10-21,1998,10,293,293
26,1,18.2642992755875,0,18.2642992755875,0,0,0,0,0,0,6.61267268904914,237.467322102073,3,2,1,0,1998-10-21,1998,10,293,293
27,1,6.48043480602693,0,6.48043480602693,0,0,0,0,0,0,10.3310760296254,237.707309305496,3,2,1,0,1998-10-21,1998,10,293,293
28,1,18.2068824572097,0,18.2068824572097,0,0,0,0,0,0,1.97464556146879,230.613774146605,3,2,1,1,1998-10-21,1998,10,293,293
29,1,1.83943575460667,0,1.83943575460667,0.519190396234787,0,0.519190396234787,339.431791181562,0,339.431791181562,1.99648029786844,227.184506382921,3,2,1,1,1998-10-21,1998,10,293,293
30,1,16.8402802690332,0,16.8402802690332,0,0,0,0,0,0,1.89798862958539,222.942211838242,3,2,1,1,1998-10-21,1998,10,293,293
31,1,2.69890855402667,0,2.69890855402667,0,0,0,0,0,0,-7.15595601899253,230.137970327543,3,2,1,1,1998-10-21,1998,10,293,293
32,1,11.961617988015,0,11.961617988015,0,0,0,0,0,0,-8.51656489690314,230.129854870543,3,2,1,1,1998-10-21,1998,10,293,293
33,1,0,0,0,0,0,0,2036.59074708937,0,2036.59074708937,-10.1819755033672,228.928189790243,3,2,1,1,1998-10-21,1998,10,293,293
34,1,7.67776012416293,0,7.67776012416293,3.61849533342263,0,3.61849533342263,0,0,0,-2.8896032625905,237.565019542449,3,2,1,0,1998-10-21,1998,10,293,293
35,1,1.46463191874287,0,1.46463191874287,0,0,0,0,0,0,-1.75632508108452,241.625111308262,3,2,1,0,1998-10-21,1998,10,293,293
36,1,8.68932275634062,0,8.68932275634062,0,0,0,0,0,0,-0.427197265283505,246.73611116136,3,2,1,0,1998-10-21,1998,10,293,293
37,1,2.14306155686997,0,2.14306155686997,0,0,0,0,0,0,127.667453109657,316.760501473659,4,3,1,0,1998-10-21,1998,10,293,293
38,1,47.780995153036,0,47.780995153036,0,0,0,2376.02253827093,0,2376.02253827093,131.9991158778,316.25872155639,4,3,1,0,1998-10-21,1998,10,293,293
39,1,6.75043043812921,0,6.75043043812921,0,0,0,0,0,0,133.51737910484,315.89147977918,4,3,1,0,1998-10-21,1998,10,293,293
40,1,5.06457435761517,0,5.06457435761517,36.265013505117,0,36.265013505117,678.863582363124,0,678.863582363124,120.374459544567,309.722729188392,4,3,1,0,1998-10-21,1998,10,293,293
41,1,7.90786947201283,0,7.90786947201283,0,0,0,2715.4543294525,0,2715.4543294525,119.302030817482,307.734152317727,4,3,1,0,1998-10-21,1998,10,293,293
42,1,21.0360942010619,0,21.0360942010619,0,0,0,0,0,0,117.685840817869,303.806082073302,4,3,1,0,1998-10-21,1998,10,293,293
43,1,0,0,0,0,0,0,0,0,0,113.467739281492,314.55913465151,4,3,1,1,1998-10-21,1998,10,293,293
44,1,18.6050755825168,0,18.6050755825168,30.8282816600938,0,30.8282816600938,5770.34045008655,0,5770.34045008655,109.37935835955,313.96182697251,4,3,1,1,1998-10-21,1998,10,293,293
45,1,1.09967871866328,0,1.09967871866328,0,0,0,0,0,0,108.320991150716,315.790725048179,4,3,1,1,1998-10-21,1998,10,293,293
46,1,7.02268115749086,0,7.02268115749086,0,0,0,0,0,0,118.361646355229,324.07084982471,4,3,1,1,1998-10-21,1998,10,293,293
47,1,12.4173376880874,0,12.4173376880874,0,0,0,15613.8623943519,0,15613.8623943519,118.40911013529,325.51118734285,4,3,1,1,1998-10-21,1998,10,293,293
48,1,15.681575987904,0,15.681575987904,0,0,0,0,0,0,117.915430733629,327.877797083958,4,3,1,1,1998-10-21,1998,10,293,293
49,1,16.5730041563118,0,16.5730041563118,0.563453724572849,0,0.563453724572849,0,0,0,22.5056070418115,120.349846758796,5,2,0,1,1998-10-21,1998,10,293,293
50,1,13.5309666468631,0,13.5309666468631,3.01106791542335,0,3.01106791542335,0,0,0,26.6759942895578,119.743577796122,5,2,0,1,1998-10-21,1998,10,293,293
51,1,8.28630136624345,0,8.28630136624345,0,0,0,2376.02253827093,0,2376.02253827093,28.3925992504049,120.018794738012,5,2,0,1,1998-10-21,1998,10,293,293
52,1,26.034677530652,0,26.034677530652,0,0,0,0,0,0,20.0581666809568,113.14005709879,5,2,0,1,1998-10-21,1998,10,293,293
53,1,2.85552482150867,0,2.85552482150867,3.90201640776693,0,3.90201640776693,0,0,0,19.524150362894,109.045581873764,5,2,0,1,1998-10-21,1998,10,293,293
54,1,2.73325722202112,0,2.73325722202112,0,0,0,0,0,0,19.6456451567674,106.132685543379,5,2,0,1,1998-10-21,1998,10,293,293
55,1,7.06108268172253,0,7.06108268172253,5.58622004489036,0,5.58622004489036,0,0,0,14.1680710631876,115.684176955481,5,2,0,0,1998-10-21,1998,10,293,293
56,1,1.25612933530109,0,1.25612933530109,0,0,0,0,0,0,12.9028354322694,116.449165312867,5,2,0,0,1998-10-21,1998,10,293,293
57,1,32.387169925449,0,32.387169925449,8.73624869334004,0,8.73624869334004,0,0,0,9.93991920368886,116.296335077776,5,2,0,0,1998-10-21,1998,10,293,293
58,1,0.722690933939459,0,0.722690933939459,0,0,0,0,0,0,16.55459294105,124.858778148039,5,2,0,0,1998-10-21,1998,10,293,293
59,1,3.78718480353708,0,3.78718480353708,8.36379140839193,0,8.36379140839193,3394.31791181562,0,3394.31791181562,16.845590742682,128.38958863911,5,2,0,0,1998-10-21,1998,10,293,293
60,1,9.36932658561903,0,9.36932658561903,35.7668211318445,0,35.7668211318445,0,0,0,16.3606067095891,129.704399928931,5,2,0,0,1998-10-21,1998,10,293,293
61,1,16.1003311594116,0,16.1003311594116,0,0,0,0,0,0,163.800685296065,164.121567317579,6,3,0,1,1998-10-21,1998,10,293,293
62,1,20.7368840608725,0,20.7368840608725,2.57587469235183,0,2.57587469235183,0,0,0,166.721742091595,161.639267072616,6,3,0,1,1998-10-21,1998,10,293,293
63,1,12.3101219576393,0,12.3101219576393,0,0,0,0,0,0,170.185834434808,161.706123821096,6,3,0,1,1998-10-21,1998,10,293,293
64,1,7.06047800532806,0,7.06047800532806,0,0,0,0,0,0,158.160305300194,154.562457466387,6,3,0,1,1998-10-21,1998,10,293,293
65,1,3.79173766109545,0,3.79173766109545,0,0,0,0,0,0,158.277962215774,152.816721362976,6,3,0,1,1998-10-21,1998,10,293,293
66,1,3.97748510311104,0,3.97748510311104,0,0,0,0,0,0,157.795122961006,148.816005188868,6,3,0,1,1998-10-21,1998,10,293,293
67,1,1.62261912480663,0,1.62261912480663,14.8278084881119,0,14.8278084881119,0,0,0,NA,NA,6,3,0,0,1998-10-21,1998,10,293,293
68,1,8.08364127791394,0,8.08364127791394,24.6059450970094,0,24.6059450970094,0,0,0,147.714739134704,159.695299341689,6,3,0,0,1998-10-21,1998,10,293,293
69,1,6.0106134426778,0,6.0106134426778,8.07760772538627,0,8.07760772538627,0,0,0,145.08939986545,160.867562602333,6,3,0,0,1998-10-21,1998,10,293,293
70,1,8.23306342069603,0,8.23306342069603,0,0,0,0,0,0,156.150898796888,165.490053450557,6,3,0,0,1998-10-21,1998,10,293,293
71,1,2.81484585223498,0,2.81484585223498,0,0,0,0,0,0,156.835445339795,168.780363973415,6,3,0,0,1998-10-21,1998,10,293,293
72,1,2.55848026969719,0,2.55848026969719,0,0,0,0,0,0,156.137004822907,172.20390611372,6,3,0,0,1998-10-21,1998,10,293,293
1,2,0.776227660764144,0,1.7662363742018,0,0,3.02326611838609,0,0,0,NA,NA,1,1,0,0,1998-12-01,1998,12,334,334
2,2,0,0,0.797231781303487,0,0,0.917174171395168,1357.72716472625,0,1357.72716472625,NA,NA,1,1,0,0,1998-12-01,1998,12,334,334
3,2,0.680729440951775,0,2.36663735087105,0,0,0,0,0,0,26.0791734837054,463.610890423291,1,1,0,0,1998-12-01,1998,12,334,334
4,2,1.0975445666828,0,8.57854197582229,0,0,0,0,0,0,NA,NA,1,1,0,1,1998-12-01,1998,12,334,334
5,2,1.2215885936284,0,7.84564776289043,0,0,4.44039283030626,1018.29537354469,0,2715.4543294525,15.6143176607629,454.174897515308,1,1,0,1,1998-12-01,1998,12,334,334
6,2,0,0,0,0,0,0,0,0,0,NA,NA,1,1,0,1,1998-12-01,1998,12,334,334
7,2,2.94555148214823,0,2.94555148214823,0,0,0.341621837618677,0,0,0,6.58275624231656,456.863868576625,1,1,0,1,1998-12-01,1998,12,334,334
8,2,2.93187969805611,0,26.8954613091457,0,0,0,0,0,0,4.65237782536246,457.263283072285,1,1,0,1,1998-12-01,1998,12,334,334
9,2,3.50573182408815,0,26.203777570957,0,0,0,678.863582363124,0,1018.29537354469,3.13529002206533,457.374502798104,1,1,0,1,1998-12-01,1998,12,334,334
10,2,0,0,7.68788210212751,0,0,0,0,0,0,7.33250505321454,461.468185754259,1,1,0,0,1998-12-01,1998,12,334,334
11,2,0,0,0.941237243106537,0,0,0,0,0,0,10.4543812194987,469.053045249221,1,1,0,0,1998-12-01,1998,12,334,334
12,2,0,0,12.2996300599981,0,0,0,0,0,0,10.0229852608838,472.093382604188,1,1,0,0,1998-12-01,1998,12,334,334
13,2,0,0,0.507928171354924,0,0,0,0,0,0,143.536193306607,495.877808000882,2,1,1,1,1998-12-01,1998,12,334,334
14,2,2.26141349560476,-1.53299083920344,17.8683571724885,0,0,0,0,0,0,146.075929757999,496.051562093438,2,1,1,1,1998-12-01,1998,12,334,334
16,2,0,0,1.41913789609607,0,0,0,0,0,0,140.595017872302,487.901071091808,2,1,1,1,1998-12-01,1998,12,334,334
17,2,2.98672943648022,0,16.7840250390906,0,0,0,3054.88612063406,0,6109.77224126812,140.728408357868,486.744740681272,2,1,1,1,1998-12-01,1998,12,334,334
18,2,0,0,10.0495285861528,0,0,0,0,0,0,140.219190874618,485.408309514947,2,1,1,1,1998-12-01,1998,12,334,334
19,2,3.24347909862363,0,32.2906645891544,0,0,0,0,0,0,134.595592049068,490.905496200262,2,1,1,0,1998-12-01,1998,12,334,334
20,2,0.827614991665628,0,6.91764632711428,0,0,0,0,0,0,130.444634020807,491.143390762066,2,1,1,0,1998-12-01,1998,12,334,334
21,2,2.00141484113677,0,41.4049376553231,1.22451238184166,0,2.37855709781347,2036.59074708937,-4073.18149417874,5430.90865890499,128.662965565304,490.975697765585,2,1,1,0,1998-12-01,1998,12,334,334
22,2,0,0,1.72175861440284,0,0,0,0,0,0,136.377607528524,498.564578075477,2,1,1,0,1998-12-01,1998,12,334,334
23,2,0,0,0.781927879077729,0.455054047907037,0,0.455054047907037,0,0,0,136.400437860386,504.643310219923,2,1,1,0,1998-12-01,1998,12,334,334
24,2,1.10864317324416,0,5.9950900276769,0.893502360880222,0,1.65250639889902,678.863582363124,0,678.863582363124,136.189125755376,506.099511883354,2,1,1,0,1998-12-01,1998,12,334,334
25,2,0.330870792951282,0,11.9132560716116,0,0,0,1018.29537354469,0,1018.29537354469,4.48253601800892,237.310912134074,3,2,1,0,1998-12-01,1998,12,334,334
26,2,3.47413214709714,0,21.7384314226847,0,0,0,0,0,0,6.61267268904914,237.467322102073,3,2,1,0,1998-12-01,1998,12,334,334
27,2,2.57328728714121,0,9.05372209316813,0,0,0,0,0,0,10.3310760296254,237.707309305496,3,2,1,0,1998-12-01,1998,12,334,334
28,2,0.35108832604639,0,18.5579707832561,4.29147373763386,0,4.29147373763386,0,0,0,1.97464556146879,230.613774146605,3,2,1,1,1998-12-01,1998,12,334,334
29,2,0.514293025571003,0,2.35372878017767,2.60060443249139,0,3.11979482872617,1357.72716472625,0,1697.15895590781,1.99648029786844,227.184506382921,3,2,1,1,1998-12-01,1998,12,334,334
30,2,0.479693340653136,0,17.3199736096864,0,0,0,0,0,0,1.89798862958539,222.942211838242,3,2,1,1,1998-12-01,1998,12,334,334
31,2,0,0,2.69890855402667,0,0,0,0,0,0,-7.15595601899253,230.137970327543,3,2,1,1,1998-12-01,1998,12,334,334
32,2,1.41527101596,0,13.376889003975,0,0,0,0,0,0,-8.51656489690314,230.129854870543,3,2,1,1,1998-12-01,1998,12,334,334
33,2,15.003653464938,0,15.003653464938,7.98820809892384,0,7.98820809892384,24439.0889650725,0,26475.6797121618,-10.1819755033672,228.928189790243,3,2,1,1,1998-12-01,1998,12,334,334
34,2,0,0,7.67776012416293,0,0,3.61849533342263,0,0,0,-2.8896032625905,237.565019542449,3,2,1,0,1998-12-01,1998,12,334,334
35,2,0.516297095906961,0,1.98092901464984,0,0,0,0,0,0,-1.75632508108452,241.625111308262,3,2,1,0,1998-12-01,1998,12,334,334
36,2,0.815890367189995,0,9.50521312353061,0,0,0,2715.4543294525,0,2715.4543294525,-0.427197265283505,246.73611116136,3,2,1,0,1998-12-01,1998,12,334,334
37,2,0,0,2.14306155686997,4.188671636734,0,4.188671636734,0,0,0,127.667453109657,316.760501473659,4,3,1,0,1998-12-01,1998,12,334,334
38,2,3.01221934122997,0,50.7932144942659,0,0,0,0,0,2376.02253827093,131.9991158778,316.25872155639,4,3,1,0,1998-12-01,1998,12,334,334
39,2,1.05844385361181,0,7.80887429174101,0.276079997772352,0,0.276079997772352,0,0,0,133.51737910484,315.89147977918,4,3,1,0,1998-12-01,1998,12,334,334
40,2,0,0,5.06457435761517,14.6629330524654,-7.97408611039013,42.9538604471922,0,0,678.863582363124,120.374459544567,309.722729188392,4,3,1,0,1998-12-01,1998,12,334,334
41,2,1.89936477474432,0,9.80723424675716,0,0,0,2036.59074708937,0,4752.04507654187,119.302030817482,307.734152317727,4,3,1,0,1998-12-01,1998,12,334,334
42,2,3.45987093055327,0,24.4959651316152,0,0,0,0,0,0,117.685840817869,303.806082073302,4,3,1,0,1998-12-01,1998,12,334,334
43,2,1.59886601326386,0,1.59886601326386,0,0,0,0,0,0,113.467739281492,314.55913465151,4,3,1,1,1998-12-01,1998,12,334,334
44,2,2.85839373152815,0,21.4634693140449,0,0,30.8282816600938,0,0,5770.34045008655,109.37935835955,313.96182697251,4,3,1,1,1998-12-01,1998,12,334,334
45,2,1.59018306349183,0,2.68986178215512,0,0,0,0,0,0,108.320991150716,315.790725048179,4,3,1,1,1998-12-01,1998,12,334,334
46,2,3.33338177519575,0,10.3560629326866,0,0,0,0,0,0,118.361646355229,324.07084982471,4,3,1,1,1998-12-01,1998,12,334,334
47,2,0.7339399474023,0,13.1512776354897,0,0,0,2036.59074708937,0,17650.4531414412,118.40911013529,325.51118734285,4,3,1,1,1998-12-01,1998,12,334,334
48,2,3.95068625181327,0,19.6322622397173,0,0,0,0,0,0,117.915430733629,327.877797083958,4,3,1,1,1998-12-01,1998,12,334,334
49,2,0,0,16.5730041563118,1.50985968052355,0,2.0733134050964,0,0,0,22.5056070418115,120.349846758796,5,2,0,1,1998-12-01,1998,12,334,334
50,2,2.06081337206785,0,15.5917800189309,0,0,3.01106791542335,0,0,0,26.6759942895578,119.743577796122,5,2,0,1,1998-12-01,1998,12,334,334
51,2,0,0,8.28630136624345,2.16188579360067,0,2.16188579360067,339.431791181562,0,2715.4543294525,28.3925992504049,120.018794738012,5,2,0,1,1998-12-01,1998,12,334,334
52,2,0,0,26.034677530652,7.30854878275085,0,7.30854878275085,0,0,0,20.0581666809568,113.14005709879,5,2,0,1,1998-12-01,1998,12,334,334
53,2,0,0,2.85552482150867,0,0,3.90201640776693,0,0,0,19.524150362894,109.045581873764,5,2,0,1,1998-12-01,1998,12,334,334
54,2,0,0,2.73325722202112,0,0,0,0,0,0,19.6456451567674,106.132685543379,5,2,0,1,1998-12-01,1998,12,334,334
55,2,5.17456448563787,0,12.2356471673604,0,0,5.58622004489036,0,0,0,14.1680710631876,115.684176955481,5,2,0,0,1998-12-01,1998,12,334,334
56,2,0,0,1.25612933530109,0,0,0,0,0,0,12.9028354322694,116.449165312867,5,2,0,0,1998-12-01,1998,12,334,334
57,2,0,0,32.387169925449,0,0,8.73624869334004,0,0,0,9.93991920368886,116.296335077776,5,2,0,0,1998-12-01,1998,12,334,334
58,2,0,0,0.722690933939459,0,0,0,0,0,0,16.55459294105,124.858778148039,5,2,0,0,1998-12-01,1998,12,334,334
59,2,0.20350663528176,0,3.99069143881884,0,-1.37291114793596,6.99088026045597,2036.59074708937,0,5430.90865890499,16.845590742682,128.38958863911,5,2,0,0,1998-12-01,1998,12,334,334
60,2,0,0,9.36932658561903,2.98591236115055,-3.51605400583376,35.2366794871612,0,0,0,16.3606067095891,129.704399928931,5,2,0,0,1998-12-01,1998,12,334,334
61,2,0,0,16.1003311594116,0,0,0,0,0,0,163.800685296065,164.121567317579,6,3,0,1,1998-12-01,1998,12,334,334
62,2,0.85847991061765,0,21.5953639714902,0,0,2.57587469235183,0,0,0,166.721742091595,161.639267072616,6,3,0,1,1998-12-01,1998,12,334,334
63,2,1.31601160734774,0,13.6261335649871,0,0,0,0,0,0,170.185834434808,161.706123821096,6,3,0,1,1998-12-01,1998,12,334,334
64,2,0.944030949675273,0,8.00450895500333,0,0,0,0,0,0,158.160305300194,154.562457466387,6,3,0,1,1998-12-01,1998,12,334,334
65,2,0,0,3.79173766109545,0,0,0,0,0,0,158.277962215774,152.816721362976,6,3,0,1,1998-12-01,1998,12,334,334
66,2,0,0,3.97748510311104,0,0,0,0,0,0,157.795122961006,148.816005188868,6,3,0,1,1998-12-01,1998,12,334,334
67,2,0,0,1.62261912480663,7.33783544550016,0,16.8772122771869,0,0,0,NA,NA,6,3,0,0,1998-12-01,1998,12,334,334
68,2,0,0,8.08364127791394,0,0,24.6059450970094,0,0,0,147.714739134704,159.695299341689,6,3,0,0,1998-12-01,1998,12,334,334
69,2,4.85347014128289,0,10.8640835839607,12.2126542204278,0,20.2902619458141,0,0,0,145.08939986545,160.867562602333,6,3,0,0,1998-12-01,1998,12,334,334
70,2,0,0,8.23306342069603,1.90541052242618,0,1.90541052242618,0,0,0,156.150898796888,165.490053450557,6,3,0,0,1998-12-01,1998,12,334,334
71,2,0,0,2.81484585223498,0.614332924050409,0,0.614332924050409,0,0,0,156.835445339795,168.780363973415,6,3,0,0,1998-12-01,1998,12,334,334
72,2,0,0,2.55848026969719,0,0,0,0,0,0,156.137004822907,172.20390611372,6,3,0,0,1998-12-01,1998,12,334,334
1,3,3.70665918426207,0,5.47289555846387,2.71575209446692,0,5.739018212853,0,0,0,NA,NA,1,1,0,0,1999-01-06,1999,1,370,5
2,3,1.74764689418895,0,2.54487867549244,0,-0.917174171395168,0,0,0,1357.72716472625,NA,NA,1,1,0,0,1999-01-06,1999,1,370,5
3,3,0,0,2.36663735087105,0,0,0,0,0,0,26.0791734837054,463.610890423291,1,1,0,0,1999-01-06,1999,1,370,5
4,3,3.87514336928126,0,12.4536853451036,2.52499752539997,0,2.52499752539997,0,0,0,NA,NA,1,1,0,1,1999-01-06,1999,1,370,5
5,3,0,0,7.84564776289043,0,0,4.44039283030626,0,0,2715.4543294525,15.6143176607629,454.174897515308,1,1,0,1,1999-01-06,1999,1,370,5
6,3,3.80499074489424,0,3.80499074489424,0,0,0,0,0,0,NA,NA,1,1,0,1,1999-01-06,1999,1,370,5
7,3,3.69966018202894,0,6.64521166417716,0,0,0.341621837618677,0,0,0,6.58275624231656,456.863868576625,1,1,0,1,1999-01-06,1999,1,370,5
8,3,4.26613423978559,0,31.1615955489313,0,0,0,0,0,0,4.65237782536246,457.263283072285,1,1,0,1,1999-01-06,1999,1,370,5
9,3,7.68740344232617,0,33.8911810132832,0.983919266453346,0,0.983919266453346,2036.59074708937,0,3054.88612063406,3.13529002206533,457.374502798104,1,1,0,1,1999-01-06,1999,1,370,5
10,3,0.382686986774559,0,8.07056908890207,0,0,0,0,0,0,7.33250505321454,461.468185754259,1,1,0,0,1999-01-06,1999,1,370,5
11,3,2.0928957739116,-0.941237243106537,2.0928957739116,0,0,0,0,0,0,10.4543812194987,469.053045249221,1,1,0,0,1999-01-06,1999,1,370,5
12,3,0.169139674556051,0,12.4687697345542,0,0,0,0,0,0,10.0229852608838,472.093382604188,1,1,0,0,1999-01-06,1999,1,370,5
13,3,2.43289159097372,0,2.94081976232864,0,0,0,3054.88612063406,0,3054.88612063406,143.536193306607,495.877808000882,2,1,1,1,1999-01-06,1999,1,370,5
14,3,0.761630061217642,0,18.6299872337061,0,0,0,0,0,0,146.075929757999,496.051562093438,2,1,1,1,1999-01-06,1999,1,370,5
16,3,0,0,1.41913789609607,0,0,0,0,0,0,140.595017872302,487.901071091808,2,1,1,1,1999-01-06,1999,1,370,5
17,3,8.24819659076335,0,25.0322216298539,0,0,0,1357.72716472625,0,7467.49940599436,140.728408357868,486.744740681272,2,1,1,1,1999-01-06,1999,1,370,5
18,3,0,0,10.0495285861528,0.654918397142106,0,0.654918397142106,0,0,0,140.219190874618,485.408309514947,2,1,1,1,1999-01-06,1999,1,370,5
19,3,1.5166147796732,-0.464011388647978,33.3432679801796,0,0,0,0,0,0,134.595592049068,490.905496200262,2,1,1,0,1999-01-06,1999,1,370,5
20,3,3.50156717893767,-0.827614991665628,9.59159851438632,0,0,0,0,0,0,130.444634020807,491.143390762066,2,1,1,0,1999-01-06,1999,1,370,5
21,3,0.38092885204778,-5.25318054702177,36.0363787546593,0,0,2.37855709781347,0,0,3394.31791181562,128.662965565304,490.975697765585,2,1,1,0,1999-01-06,1999,1,370,5
22,3,0,0,1.72175861440284,0,0,0,0,0,0,136.377607528524,498.564578075477,2,1,1,0,1999-01-06,1999,1,370,5
23,3,0,-0.781927879077729,0,0,0,0.455054047907037,0,0,0,136.400437860386,504.643310219923,2,1,1,0,1999-01-06,1999,1,370,5
24,3,0,0,5.9950900276769,0,0,1.65250639889902,339.431791181562,0,1018.29537354469,136.189125755376,506.099511883354,2,1,1,0,1999-01-06,1999,1,370,5
25,3,0,-2.09956652324488,9.81368954836669,0,0,0,1357.72716472625,0,2376.02253827093,4.48253601800892,237.310912134074,3,2,1,0,1999-01-06,1999,1,370,5
26,3,3.72000271545433,0,25.458434138139,0,0,0,0,0,0,6.61267268904914,237.467322102073,3,2,1,0,1999-01-06,1999,1,370,5
27,3,3.59142818873302,0,12.6451502819012,0,0,0,0,0,0,10.3310760296254,237.707309305496,3,2,1,0,1999-01-06,1999,1,370,5
28,3,2.37943311638832,-0.090393531527624,20.8470103681168,0,0,4.29147373763386,0,0,0,1.97464556146879,230.613774146605,3,2,1,1,1999-01-06,1999,1,370,5
29,3,2.08552990079039,0,4.43925868096806,0,0,3.11979482872617,1357.72716472625,0,3054.88612063406,1.99648029786844,227.184506382921,3,2,1,1,1999-01-06,1999,1,370,5
30,3,0.223577826526777,0,17.5435514362131,0,0,0,0,0,0,1.89798862958539,222.942211838242,3,2,1,1,1999-01-06,1999,1,370,5
31,3,0,-0.879495210048319,1.81941334397835,0,0,0,0,0,0,-7.15595601899253,230.137970327543,3,2,1,1,1999-01-06,1999,1,370,5
32,3,4.53797032390533,0,17.9148593278803,2.78466182939101,0,2.78466182939101,0,0,0,-8.51656489690314,230.129854870543,3,2,1,1,1999-01-06,1999,1,370,5
33,3,0,0,15.003653464938,0,0,7.98820809892384,0,0,26475.6797121618,-10.1819755033672,228.928189790243,3,2,1,1,1999-01-06,1999,1,370,5
34,3,2.61079043501538,0,10.2885505591783,0,-1.49245313046559,2.12604220295704,0,0,0,-2.8896032625905,237.565019542449,3,2,1,0,1999-01-06,1999,1,370,5
35,3,0,0,1.98092901464984,0,0,0,0,0,0,-1.75632508108452,241.625111308262,3,2,1,0,1999-01-06,1999,1,370,5
36,3,3.2440878400695,-0.75230889837717,11.9969920652229,16.7778492097642,0,16.7778492097642,4073.18149417874,0,6788.63582363124,-0.427197265283505,246.73611116136,3,2,1,0,1999-01-06,1999,1,370,5
37,3,0.465488018565903,0,2.60854957543587,0,0,4.188671636734,0,0,0,127.667453109657,316.760501473659,4,3,1,0,1999-01-06,1999,1,370,5
